seed,condition,radius
2,clean,0.052433
2,clean,0.072099
2,clean,0.098295
2,clean,0.002635
2,clean,0.088167
2,clean,0.098295
2,clean,0.081508
2,clean,0.0
2,clean,0.081508
2,clean,0.011267
2,clean,0.014629
2,clean,0.065147
2,clean,0.0
2,clean,0.098295
2,clean,0.088167
2,clean,0.022902
2,clean,0.0
2,clean,0.046466
2,clean,0.098295
2,clean,0.013499
2,clean,0.044649
2,clean,0.098295
2,clean,0.098295
2,clean,0.0
2,clean,0.065147
2,clean,0.059487
2,clean,0.098295
2,clean,0.038002
2,clean,0.032094
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.088167
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.081508
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_displacement,0.098295
2,A1_displacement,0.098295
2,A1_displacement,0.062194
2,A1_displacement,0.0
2,A1_displacement,0.098295
2,A1_displacement,0.030704
2,A1_displacement,0.025413
2,A1_displacement,0.003694
2,A1_displacement,0.072099
2,A1_displacement,0.0
2,A1_displacement,0.088167
2,A1_displacement,0.098295
2,A1_displacement,0.081508
2,A1_displacement,0.098295
2,A1_displacement,0.068415
2,A1_displacement,0.039583
2,A1_displacement,0.076365
2,A1_displacement,0.024147
2,A1_displacement,0.0
2,A1_displacement,0.041214
2,A1_displacement,0.032094
2,A1_displacement,0.0
2,A1_displacement,0.015771
2,A1_displacement,0.0
2,A1_displacement,0.098295
2,A1_displacement,0.088167
2,A1_displacement,0.0
2,A1_displacement,0.088167
2,A1_displacement,0.028009
2,A1_displacement,0.054638
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.065147
2,A1_displacement,0.0
2,A1_displacement,0.098295
2,A1_displacement,0.059487
2,A1_displacement,0.098295
2,A1_displacement,0.022902
2,A1_displacement,0.036467
2,A1_displacement,0.081508
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.098295
3,clean,0.0
3,clean,0.0
3,A1_misdirection,0.098295
3,A1_misdirection,0.0
3,A1_misdirection,0.054638
