seed,attack,auroc
0,A1_misdirection,0.1281
0,A1_displacement,0.5178
1,A1_misdirection,0.1156
1,A1_displacement,0.4697
2,A1_misdirection,0.1081
2,A1_displacement,0.5206
3,A1_misdirection,0.0928
3,A1_displacement,0.5003
4,A1_misdirection,0.2069
4,A1_displacement,0.5959
