seed,condition,radius
2,clean,0.0429
2,clean,0.021675
2,clean,0.098295
2,clean,0.098295
2,clean,0.013499
2,clean,0.0
2,clean,0.076365
2,clean,0.076365
2,clean,0.088167
2,clean,0.098295
2,clean,0.013499
2,clean,0.081508
2,clean,0.0
2,clean,0.098295
2,clean,0.01927
2,clean,0.052433
2,clean,0.048362
2,clean,0.081508
2,clean,0.006902
2,clean,0.000527
2,clean,0.030704
2,clean,0.081508
2,clean,0.015771
2,clean,0.036467
2,clean,0.033516
2,clean,0.098295
2,clean,0.098295
2,clean,0.05698
2,clean,0.076365
2,clean,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.01927
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.088167
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.006902
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.088167
2,A1_misdirection,0.065147
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.0
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.068415
2,A1_misdirection,0.098295
2,A1_displacement,0.0
2,A1_displacement,0.016924
2,A1_displacement,0.0
2,A1_displacement,0.016924
2,A1_displacement,0.0
2,A1_displacement,0.004758
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.00907
2,A1_displacement,0.006902
2,A1_displacement,0.001579
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.005827
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.005827
2,A1_displacement,0.0
2,A1_displacement,0.041214
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.006902
2,A1_displacement,0.0
2,A1_displacement,0.05698
2,A1_displacement,0.0
2,A1_displacement,0.022902
2,A1_displacement,0.032094
2,A1_displacement,0.044649
2,A1_displacement,0.0
2,A1_displacement,0.016924
2,A1_displacement,0.052433
2,A1_displacement,0.088167
2,A1_displacement,0.0
2,A1_displacement,0.002635
2,A1_displacement,0.098295
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.020464
2,A1_displacement,0.0
2,A1_displacement,0.038002
3,clean,0.098295
3,clean,0.098295
3,clean,0.098295
3,clean,0.098295
3,clean,0.036467
3,clean,0.014629
3,clean,0.098295
3,clean,0.098295
3,clean,0.098295
3,clean,0.098295
3,clean,0.036467
3,clean,0.088167
3,clean,0.098295
3,clean,0.098295
3,clean,0.098295
3,clean,0.098295
3,clean,0.098295
3,clean,0.098295
3,clean,0.098295
3,clean,0.098295
3,clean,0.098295
3,clean,0.098295
3,clean,0.098295
3,clean,0.038002
3,clean,0.036467
3,clean,0.034973
3,clean,0.098295
3,clean,0.088167
3,clean,0.098295
3,clean,0.098295
3,clean,0.005827
3,clean,0.098295
3,clean,0.098295
3,clean,0.098295
3,clean,0.054638
3,clean,0.098295
3,clean,0.098295
3,clean,0.098295
3,clean,0.098295
3,clean,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.010164
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.050347
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.005827
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_displacement,0.005827
3,A1_displacement,0.088167
3,A1_displacement,0.046466
3,A1_displacement,0.098295
3,A1_displacement,0.0
3,A1_displacement,0.004758
3,A1_displacement,0.024147
3,A1_displacement,0.059487
3,A1_displacement,0.021675
3,A1_displacement,0.098295
3,A1_displacement,0.098295
3,A1_displacement,0.081508
3,A1_displacement,0.030704
3,A1_displacement,0.020464
3,A1_displacement,0.088167
3,A1_displacement,0.076365
3,A1_displacement,0.098295
3,A1_displacement,0.052433
3,A1_displacement,0.0
3,A1_displacement,0.059487
3,A1_displacement,0.098295
3,A1_displacement,0.005827
3,A1_displacement,0.0
3,A1_displacement,0.0
3,A1_displacement,0.076365
3,A1_displacement,0.076365
3,A1_displacement,0.012378
3,A1_displacement,0.046466
3,A1_displacement,0.098295
3,A1_displacement,0.034973
3,A1_displacement,0.098295
3,A1_displacement,0.028009
3,A1_displacement,0.059487
3,A1_displacement,0.033516
3,A1_displacement,0.0
3,A1_displacement,0.001579
3,A1_displacement,0.065147
3,A1_displacement,0.039583
3,A1_displacement,0.0
3,A1_displacement,0.012378
4,clean,0.005827
4,clean,0.05698
4,clean,0.076365
4,clean,0.0
4,clean,0.062194
4,clean,0.020464
4,clean,0.0
4,clean,0.029343
4,clean,0.088167
4,clean,0.0
4,clean,0.004758
4,clean,0.072099
4,clean,0.036467
4,clean,0.028009
4,clean,0.088167
4,clean,0.076365
4,clean,0.003694
4,clean,0.033516
4,clean,0.044649
4,clean,0.098295
4,clean,0.0
4,clean,0.072099
4,clean,0.098295
4,clean,0.0429
4,clean,0.0
4,clean,0.05698
4,clean,0.0429
4,clean,0.054638
4,clean,0.098295
4,clean,0.0
4,clean,0.030704
4,clean,0.022902
4,clean,0.048362
4,clean,0.029343
4,clean,0.0
4,clean,0.081508
4,clean,0.050347
4,clean,0.0
4,clean,0.0
4,clean,0.015771
4,A1_misdirection,0.041214
4,A1_misdirection,0.098295
4,A1_misdirection,0.098295
4,A1_misdirection,0.098295
4,A1_misdirection,0.081508
4,A1_misdirection,0.012378
4,A1_misdirection,0.065147
4,A1_misdirection,0.098295
4,A1_misdirection,0.098295
