dataset,seed,class,sample_id,target,corrupt,valid,residual
fiveg_nidd,0,7,s304409,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,0,7,s304409,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,0,7,s142104,white_box,0.8888888888888888,True,0.0
fiveg_nidd,0,7,s142104,cross_seed,0.8888888888888888,True,0.0
fiveg_nidd,0,7,s142104,cross_arch,0.5714285714285714,True,0.0
fiveg_nidd,0,7,s350923,white_box,0.8888888888888888,True,0.0
fiveg_nidd,0,7,s350923,cross_seed,1.0,False,0.0
fiveg_nidd,0,7,s350923,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,0,7,s323579,white_box,0.8888888888888888,True,0.0
fiveg_nidd,0,7,s323579,cross_seed,0.8888888888888888,True,0.0
fiveg_nidd,0,7,s323579,cross_arch,0.5714285714285714,True,0.0
fiveg_nidd,0,7,s315028,white_box,0.8888888888888888,True,0.0
fiveg_nidd,0,7,s315028,cross_seed,1.0,False,0.0
fiveg_nidd,0,7,s315028,cross_arch,0.0,True,0.0
fiveg_nidd,0,7,s142380,white_box,0.8888888888888888,True,0.0
fiveg_nidd,0,7,s142380,cross_seed,0.75,True,0.0
fiveg_nidd,0,7,s142380,cross_arch,0.5714285714285714,True,0.0
fiveg_nidd,0,7,s340688,white_box,0.8888888888888888,True,0.0
fiveg_nidd,0,7,s340688,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,0,7,s340688,cross_arch,0.8888888888888888,False,0.0
fiveg_nidd,0,7,s128593,white_box,0.8888888888888888,True,0.0
fiveg_nidd,0,7,s128593,cross_seed,1.0,False,0.0
fiveg_nidd,0,7,s128593,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,0,7,s177538,white_box,0.8888888888888888,True,0.0
fiveg_nidd,0,7,s177538,cross_seed,0.75,True,0.0
fiveg_nidd,0,7,s177538,cross_arch,0.75,False,0.0
fiveg_nidd,0,7,s340793,white_box,0.8888888888888888,True,0.0
fiveg_nidd,0,7,s340793,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,0,7,s340793,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,0,7,s179877,white_box,0.8888888888888888,True,0.0
fiveg_nidd,0,7,s179877,cross_seed,0.8888888888888888,True,0.0
fiveg_nidd,0,7,s179877,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,0,7,s293155,white_box,0.75,True,0.0
fiveg_nidd,0,7,s293155,cross_seed,1.0,False,0.0
fiveg_nidd,0,7,s293155,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,0,7,s339736,white_box,0.8888888888888888,True,0.0
fiveg_nidd,0,7,s339736,cross_seed,0.8888888888888888,False,0.0
fiveg_nidd,0,7,s339736,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,0,7,s304025,white_box,0.8888888888888888,True,0.0
fiveg_nidd,0,7,s304025,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,0,7,s304025,cross_arch,0.0,True,0.0
fiveg_nidd,0,7,s303122,white_box,0.8888888888888888,True,0.0
fiveg_nidd,0,7,s303122,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,0,7,s303122,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,1,7,s139106,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s139106,cross_seed,0.75,True,0.0
fiveg_nidd,1,7,s139106,cross_arch,0.8888888888888888,False,0.0
fiveg_nidd,1,7,s287348,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s287348,cross_seed,1.0,False,0.0
fiveg_nidd,1,7,s287348,cross_arch,1.0,False,0.0
fiveg_nidd,1,7,s121268,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s121268,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,1,7,s121268,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,1,7,s130795,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s130795,cross_seed,1.0,False,0.0
fiveg_nidd,1,7,s130795,cross_arch,0.5714285714285714,True,0.0
fiveg_nidd,1,7,s349950,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s349950,cross_seed,0.75,True,0.0
fiveg_nidd,1,7,s349950,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,1,7,s130331,white_box,0.75,True,0.0
fiveg_nidd,1,7,s130331,cross_seed,0.75,True,0.0
fiveg_nidd,1,7,s130331,cross_arch,0.5714285714285714,True,0.0
fiveg_nidd,1,7,s309677,white_box,0.75,True,0.0
fiveg_nidd,1,7,s309677,cross_seed,0.33333333333333337,True,0.0
fiveg_nidd,1,7,s309677,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,1,7,s131825,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s131825,cross_seed,1.0,False,0.0
fiveg_nidd,1,7,s131825,cross_arch,0.0,True,0.0
fiveg_nidd,1,7,s287273,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s287273,cross_seed,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s287273,cross_arch,0.5714285714285714,True,0.0
fiveg_nidd,1,7,s310933,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s310933,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,1,7,s310933,cross_arch,0.5714285714285714,True,0.0
fiveg_nidd,1,7,s350219,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s350219,cross_seed,0.75,True,0.0
fiveg_nidd,1,7,s350219,cross_arch,0.8888888888888888,False,0.0
fiveg_nidd,1,7,s116403,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s116403,cross_seed,0.75,True,0.0
fiveg_nidd,1,7,s116403,cross_arch,0.8888888888888888,False,0.0
fiveg_nidd,1,7,s122150,white_box,0.75,True,0.0
fiveg_nidd,1,7,s122150,cross_seed,0.8888888888888888,False,0.0
fiveg_nidd,1,7,s122150,cross_arch,0.0,True,0.0
fiveg_nidd,1,7,s139502,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s139502,cross_seed,0.8888888888888888,False,0.0
fiveg_nidd,1,7,s139502,cross_arch,1.0,False,0.0
fiveg_nidd,1,7,s174367,white_box,0.8888888888888888,True,0.0
