dataset,seed,sample_id,condition,certified_radius,certifiable,at_ceiling
ciciomt2024,0,s712445,A1_misdirection,0.011267,1,0
ciciomt2024,0,s630081,A1_misdirection,0.0429,1,0
ciciomt2024,0,s658220,A1_misdirection,0.098295,1,1
ciciomt2024,0,s679637,A1_misdirection,0.0,0,0
ciciomt2024,0,s580728,A1_misdirection,0.0,0,0
ciciomt2024,0,s686315,A1_misdirection,0.006902,1,0
ciciomt2024,0,s268227,A1_misdirection,0.034973,1,0
ciciomt2024,0,s176665,A1_misdirection,0.0,0,0
ciciomt2024,0,s240975,A1_misdirection,0.014629,1,0
ciciomt2024,0,s658922,A1_misdirection,0.0,0,0
ciciomt2024,0,s262117,A1_misdirection,0.0,0,0
ciciomt2024,0,s700902,A1_misdirection,0.028009,1,0
ciciomt2024,0,s637499,A1_misdirection,0.0,0,0
ciciomt2024,0,s212231,A1_misdirection,0.0,0,0
ciciomt2024,0,s611003,A1_misdirection,0.0,0,0
ciciomt2024,0,s600758,A1_misdirection,0.098295,1,1
ciciomt2024,0,s753562,A1_misdirection,0.098295,1,1
ciciomt2024,0,s204276,A1_misdirection,0.002635,1,0
ciciomt2024,0,s204557,A1_misdirection,0.0,0,0
ciciomt2024,0,s218094,A1_displacement,0.0,0,0
ciciomt2024,0,s226051,A1_displacement,0.098295,1,1
ciciomt2024,0,s647796,A1_displacement,0.076365,1,0
ciciomt2024,0,s729596,A1_displacement,0.0,0,0
ciciomt2024,0,s746866,A1_displacement,0.0,0,0
ciciomt2024,0,s751746,A1_displacement,0.0,0,0
ciciomt2024,0,s688470,A1_displacement,0.012378,1,0
ciciomt2024,0,s641303,A1_displacement,0.081508,1,0
ciciomt2024,0,s765838,A1_displacement,0.044649,1,0
ciciomt2024,0,s703890,A1_displacement,0.0,0,0
ciciomt2024,0,s649862,A1_displacement,0.01927,1,0
ciciomt2024,0,s743071,A1_displacement,0.000527,1,0
ciciomt2024,0,s236296,A1_displacement,0.098295,1,1
ciciomt2024,0,s303012,A1_displacement,0.0,0,0
ciciomt2024,0,s168999,A1_displacement,0.050347,1,0
ciciomt2024,0,s685802,A1_displacement,0.0,0,0
ciciomt2024,0,s654121,A1_displacement,0.032094,1,0
ciciomt2024,0,s256708,A1_displacement,0.000527,1,0
ciciomt2024,0,s730727,A1_displacement,0.0,0,0
ciciomt2024,0,s731082,A1_displacement,0.020464,1,0
ciciomt2024,0,s291731,A1_displacement,0.0,0,0
ciciomt2024,0,s606224,A1_displacement,0.054638,1,0
ciciomt2024,0,s729856,A1_displacement,0.0,0,0
ciciomt2024,0,s624991,A1_displacement,0.0,0,0
ciciomt2024,0,s239234,A1_displacement,0.001579,1,0
ciciomt2024,0,s735619,A1_displacement,0.0,0,0
ciciomt2024,0,s573730,A1_displacement,0.0,0,0
ciciomt2024,0,s702415,A1_displacement,0.0,0,0
ciciomt2024,0,s598060,A1_displacement,0.0,0,0
ciciomt2024,0,s216657,A1_displacement,0.011267,1,0
ciciomt2024,0,s243476,A1_displacement,0.038002,1,0
ciciomt2024,0,s217520,A1_displacement,0.005827,1,0
ciciomt2024,0,s267060,A1_displacement,0.0,0,0
ciciomt2024,0,s578882,A1_displacement,0.0,0,0
ciciomt2024,0,s606565,A1_displacement,0.0,0,0
ciciomt2024,0,s736244,A1_displacement,0.0,0,0
ciciomt2024,0,s270810,A1_displacement,0.0,0,0
ciciomt2024,0,s262876,A1_displacement,0.081508,1,0
ciciomt2024,0,s721362,A1_displacement,0.098295,1,1
ciciomt2024,0,s744934,A1_displacement,0.088167,1,0
ciciomt2024,0,s302899,A1_displacement,0.01809,1,0
ciciomt2024,0,s712445,A1_displacement,0.0,0,0
ciciomt2024,0,s630081,A1_displacement,0.016924,1,0
ciciomt2024,0,s658220,A1_displacement,0.000527,1,0
ciciomt2024,0,s679637,A1_displacement,0.0,0,0
ciciomt2024,0,s580728,A1_displacement,0.034973,1,0
ciciomt2024,0,s686315,A1_displacement,0.00907,1,0
ciciomt2024,0,s268227,A1_displacement,0.0,0,0
ciciomt2024,0,s176665,A1_displacement,0.098295,1,1
ciciomt2024,0,s240975,A1_displacement,0.0,0,0
ciciomt2024,0,s658922,A1_displacement,0.011267,1,0
ciciomt2024,0,s262117,A1_displacement,0.0,0,0
ciciomt2024,0,s700902,A1_displacement,0.0,0,0
ciciomt2024,0,s637499,A1_displacement,0.098295,1,1
ciciomt2024,0,s212231,A1_displacement,0.013499,1,0
ciciomt2024,0,s611003,A1_displacement,0.0,0,0
ciciomt2024,0,s600758,A1_displacement,0.0,0,0
ciciomt2024,0,s753562,A1_displacement,0.005827,1,0
ciciomt2024,0,s204276,A1_displacement,0.044649,1,0
ciciomt2024,0,s204557,A1_displacement,0.0,0,0
ciciomt2024,0,s218094,A3_scaffolding,0.0,0,0
ciciomt2024,0,s226051,A3_scaffolding,0.0,0,0
ciciomt2024,0,s647796,A3_scaffolding,0.0,0,0
ciciomt2024,0,s729596,A3_scaffolding,0.0,0,0
ciciomt2024,0,s746866,A3_scaffolding,0.0,0,0
ciciomt2024,0,s751746,A3_scaffolding,0.0,0,0
ciciomt2024,0,s688470,A3_scaffolding,0.0,0,0
ciciomt2024,0,s641303,A3_scaffolding,0.0,0,0
ciciomt2024,0,s765838,A3_scaffolding,0.0,0,0
ciciomt2024,0,s703890,A3_scaffolding,0.0,0,0
ciciomt2024,0,s649862,A3_scaffolding,0.0,0,0
ciciomt2024,0,s743071,A3_scaffolding,0.0,0,0
ciciomt2024,0,s236296,A3_scaffolding,0.0,0,0
ciciomt2024,0,s303012,A3_scaffolding,0.0,0,0
ciciomt2024,0,s168999,A3_scaffolding,0.0,0,0
ciciomt2024,0,s685802,A3_scaffolding,0.0,0,0
ciciomt2024,0,s654121,A3_scaffolding,0.0,0,0
ciciomt2024,0,s256708,A3_scaffolding,0.0,0,0
ciciomt2024,0,s730727,A3_scaffolding,0.0,0,0
ciciomt2024,0,s731082,A3_scaffolding,0.0,0,0
ciciomt2024,0,s291731,A3_scaffolding,0.0,0,0
ciciomt2024,0,s606224,A3_scaffolding,0.0,0,0
ciciomt2024,0,s729856,A3_scaffolding,0.0,0,0
ciciomt2024,0,s624991,A3_scaffolding,0.0,0,0
ciciomt2024,0,s239234,A3_scaffolding,0.0,0,0
ciciomt2024,0,s735619,A3_scaffolding,0.0,0,0
ciciomt2024,0,s573730,A3_scaffolding,0.0,0,0
ciciomt2024,0,s702415,A3_scaffolding,0.0,0,0
ciciomt2024,0,s598060,A3_scaffolding,0.0,0,0
ciciomt2024,0,s216657,A3_scaffolding,0.0,0,0
ciciomt2024,0,s243476,A3_scaffolding,0.0,0,0
ciciomt2024,0,s217520,A3_scaffolding,0.0,0,0
ciciomt2024,0,s267060,A3_scaffolding,0.0,0,0
ciciomt2024,0,s578882,A3_scaffolding,0.0,0,0
ciciomt2024,0,s606565,A3_scaffolding,0.0,0,0
ciciomt2024,0,s736244,A3_scaffolding,0.0,0,0
ciciomt2024,0,s270810,A3_scaffolding,0.0,0,0
ciciomt2024,0,s262876,A3_scaffolding,0.0,0,0
ciciomt2024,0,s721362,A3_scaffolding,0.0,0,0
ciciomt2024,0,s744934,A3_scaffolding,0.0,0,0
ciciomt2024,0,s302899,A3_scaffolding,0.0,0,0
ciciomt2024,0,s712445,A3_scaffolding,0.0,0,0
ciciomt2024,0,s630081,A3_scaffolding,0.0,0,0
ciciomt2024,0,s658220,A3_scaffolding,0.0,0,0
ciciomt2024,0,s679637,A3_scaffolding,0.0,0,0
ciciomt2024,0,s580728,A3_scaffolding,0.0,0,0
ciciomt2024,0,s686315,A3_scaffolding,0.0,0,0
ciciomt2024,0,s268227,A3_scaffolding,0.0,0,0
ciciomt2024,0,s176665,A3_scaffolding,0.0,0,0
ciciomt2024,0,s240975,A3_scaffolding,0.0,0,0
ciciomt2024,0,s658922,A3_scaffolding,0.0,0,0
ciciomt2024,0,s262117,A3_scaffolding,0.0,0,0
ciciomt2024,0,s700902,A3_scaffolding,0.0,0,0
ciciomt2024,0,s637499,A3_scaffolding,0.0,0,0
ciciomt2024,0,s212231,A3_scaffolding,0.0,0,0
ciciomt2024,0,s611003,A3_scaffolding,0.0,0,0
ciciomt2024,0,s600758,A3_scaffolding,0.0,0,0
ciciomt2024,0,s753562,A3_scaffolding,0.0,0,0
ciciomt2024,0,s204276,A3_scaffolding,0.0,0,0
ciciomt2024,0,s204557,A3_scaffolding,0.0,0,0
ciciomt2024,1,s190913,clean,0.0,0,0
ciciomt2024,1,s188267,clean,0.0,0,0
ciciomt2024,1,s713712,clean,0.0,0,0
ciciomt2024,1,s763375,clean,0.0,0,0
ciciomt2024,1,s703422,clean,0.0,0,0
ciciomt2024,1,s691962,clean,0.0,0,0
ciciomt2024,1,s314730,clean,0.0,0,0
ciciomt2024,1,s270993,clean,0.0,0,0
ciciomt2024,1,s602463,clean,0.0,0,0
ciciomt2024,1,s670678,clean,0.0,0,0
ciciomt2024,1,s584696,clean,0.0,0,0
ciciomt2024,1,s657686,clean,0.0,0,0
ciciomt2024,1,s169401,clean,0.0,0,0
ciciomt2024,1,s741909,clean,0.0,0,0
ciciomt2024,1,s303847,clean,0.0,0,0
