seed,condition,radius
2,clean,0.048362
2,clean,0.026699
2,clean,0.088167
2,clean,0.014629
2,clean,0.028009
2,clean,0.036467
2,clean,0.026699
2,clean,0.004758
2,clean,0.052433
2,clean,0.065147
2,clean,0.0
2,clean,0.004758
2,clean,0.098295
2,clean,0.072099
2,clean,0.062194
2,clean,0.0
2,clean,0.098295
2,clean,0.038002
2,clean,0.036467
2,clean,0.003694
2,clean,0.016924
2,clean,0.072099
2,clean,0.0
2,clean,0.05698
2,clean,0.081508
2,clean,0.062194
2,clean,0.034973
2,clean,0.088167
2,A1_misdirection,0.098295
2,A1_misdirection,0.052433
2,A1_misdirection,0.038002
2,A1_misdirection,0.098295
2,A1_misdirection,0.003694
2,A1_misdirection,0.0
2,A1_misdirection,0.0
2,A1_misdirection,0.098295
2,A1_misdirection,0.010164
2,A1_misdirection,0.039583
2,A1_misdirection,0.098295
2,A1_misdirection,0.0
2,A1_misdirection,0.059487
2,A1_misdirection,0.034973
2,A1_misdirection,0.098295
2,A1_misdirection,0.0429
2,A1_misdirection,0.050347
2,A1_misdirection,0.098295
2,A1_misdirection,0.062194
2,A1_misdirection,0.000527
2,A1_misdirection,0.0
2,A1_misdirection,0.0
2,A1_misdirection,0.028009
2,A1_misdirection,0.068415
2,A1_misdirection,0.036467
2,A1_misdirection,0.002635
2,A1_misdirection,0.076365
2,A1_misdirection,0.088167
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.081508
2,A1_misdirection,0.048362
2,A1_misdirection,0.098295
2,A1_misdirection,0.054638
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.007983
2,A1_misdirection,0.034973
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.024147
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.025413
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.021675
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.065147
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.098295
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.081508
2,A1_displacement,0.030704
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.005827
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.0
2,A1_displacement,0.0
3,clean,0.0
3,clean,0.0
3,clean,0.028009
3,clean,0.012378
3,clean,0.033516
3,clean,0.01809
3,clean,0.021675
3,clean,0.01927
3,clean,0.038002
3,clean,0.098295
3,clean,0.0
3,clean,0.068415
3,clean,0.098295
3,clean,0.098295
3,clean,0.044649
3,clean,0.052433
3,clean,0.0429
3,clean,0.088167
3,clean,0.098295
3,clean,0.0
3,clean,0.098295
3,clean,0.088167
3,clean,0.012378
3,clean,0.001579
3,clean,0.052433
3,clean,0.05698
3,clean,0.050347
3,clean,0.098295
3,clean,0.098295
3,clean,0.05698
3,clean,0.088167
3,clean,0.005827
3,clean,0.002635
3,clean,0.011267
3,clean,0.076365
3,clean,0.026699
3,clean,0.046466
3,clean,0.062194
3,clean,0.098295
3,clean,0.054638
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.054638
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.050347
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.050347
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.0
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.098295
3,A1_misdirection,0.088167
3,A1_displacement,0.00907
3,A1_displacement,0.048362
3,A1_displacement,0.039583
3,A1_displacement,0.0
3,A1_displacement,0.072099
3,A1_displacement,0.012378
3,A1_displacement,0.088167
3,A1_displacement,0.0
3,A1_displacement,0.0429
3,A1_displacement,0.098295
3,A1_displacement,0.0
3,A1_displacement,0.0
3,A1_displacement,0.005827
3,A1_displacement,0.0
3,A1_displacement,0.0
3,A1_displacement,0.0
3,A1_displacement,0.0
3,A1_displacement,0.005827
3,A1_displacement,0.0
3,A1_displacement,0.0
3,A1_displacement,0.016924
3,A1_displacement,0.098295
3,A1_displacement,0.0
3,A1_displacement,0.0
3,A1_displacement,0.0
3,A1_displacement,0.059487
3,A1_displacement,0.072099
3,A1_displacement,0.098295
3,A1_displacement,0.039583
3,A1_displacement,0.0
3,A1_displacement,0.054638
3,A1_displacement,0.030704
3,A1_displacement,0.021675
3,A1_displacement,0.0
3,A1_displacement,0.0
3,A1_displacement,0.0
3,A1_displacement,0.0
3,A1_displacement,0.013499
3,A1_displacement,0.098295
3,A1_displacement,0.0
4,clean,0.00907
4,clean,0.0
4,clean,0.010164
4,clean,0.098295
4,clean,0.041214
4,clean,0.0
4,clean,0.041214
4,clean,0.002635
4,clean,0.081508
4,clean,0.054638
4,clean,0.000527
4,clean,0.0
4,clean,0.046466
4,clean,0.01927
4,clean,0.016924
4,clean,0.0
4,clean,0.0
4,clean,0.044649
4,clean,0.0429
4,clean,0.033516
4,clean,0.0
4,clean,0.0
4,clean,0.050347
4,clean,0.004758
4,clean,0.0
4,clean,0.081508
4,clean,0.028009
4,clean,0.0
4,clean,0.076365
4,clean,0.0
4,clean,0.044649
4,clean,0.0
4,clean,0.098295
4,clean,0.030704
4,clean,0.033516
4,clean,0.000527
4,clean,0.022902
4,clean,0.065147
4,clean,0.0
4,clean,0.01927
4,A1_misdirection,0.0
4,A1_misdirection,0.098295
4,A1_misdirection,0.034973
4,A1_misdirection,0.098295
4,A1_misdirection,0.022902
4,A1_misdirection,0.088167
4,A1_misdirection,0.0
4,A1_misdirection,0.098295
4,A1_misdirection,0.098295
4,A1_misdirection,0.098295
4,A1_misdirection,0.048362
4,A1_misdirection,0.098295
4,A1_misdirection,0.030704
4,A1_misdirection,0.076365
4,A1_misdirection,0.098295
4,A1_misdirection,0.041214
4,A1_misdirection,0.098295
4,A1_misdirection,0.098295
4,A1_misdirection,0.098295
4,A1_misdirection,0.098295
4,A1_misdirection,0.098295
4,A1_misdirection,0.088167
4,A1_misdirection,0.012378
4,A1_misdirection,0.098295
4,A1_misdirection,0.098295
4,A1_misdirection,0.098295
4,A1_misdirection,0.0
4,A1_misdirection,0.098295
4,A1_misdirection,0.088167
4,A1_misdirection,0.098295
4,A1_misdirection,0.098295
4,A1_misdirection,0.098295
4,A1_misdirection,0.098295
4,A1_misdirection,0.098295
4,A1_misdirection,0.098295
4,A1_misdirection,0.0
4,A1_misdirection,0.098295
4,A1_misdirection,0.003694
4,A1_misdirection,0.098295
4,A1_misdirection,0.098295
4,A1_displacement,0.0
4,A1_displacement,0.0
4,A1_displacement,0.020464
